template_id,segment_id,segment_name,lifecycle_stage,phase_name,primary_goal,theme,notification_window,total_sends,total_opens,total_engagements,ctr,engagement_rate,uninstall_rate,performance_status
TPL_SEG_08_ONBOARDING_WELCOME_01,SEG_08,New Trial Explorers,trial,Onboarding Welcome,Complete onboarding in 24h,Empowerment,morning,6000,840,2640,0.14,0.44,0.008,NEUTRAL
TPL_SEG_08_ONBOARDING_WELCOME_02,SEG_08,New Trial Explorers,trial,Onboarding Welcome,Complete onboarding in 24h,Epic Meaning,evening,6000,960,3000,0.16,0.5,0.007,GOOD
TPL_SEG_08_ONBOARDING_WELCOME_03,SEG_08,New Trial Explorers,trial,Onboarding Welcome,Complete onboarding in 24h,Loss Avoidance,afternoon,6000,540,1560,0.09,0.26,0.013,NEUTRAL
TPL_SEG_08_FEATURE_DISCOVERY_01,SEG_08,New Trial Explorers,trial,Feature Discovery,Try 3 features in first week,Empowerment,evening,5000,750,2250,0.15,0.45,0.0075,GOOD
TPL_SEG_08_FEATURE_DISCOVERY_02,SEG_08,New Trial Explorers,trial,Feature Discovery,Try 3 features in first week,Epic Meaning,morning,5000,600,1750,0.12,0.35,0.01,NEUTRAL
TPL_SEG_08_FEATURE_DISCOVERY_03,SEG_08,New Trial Explorers,trial,Feature Discovery,Try 3 features in first week,Loss Avoidance,evening,5000,850,2500,0.17,0.5,0.0065,GOOD
TPL_SEG_08_TRIAL_CONVERSION_01,SEG_08,New Trial Explorers,trial,Trial Conversion,Convert to paid before trial ends,Empowerment,evening,4000,560,1720,0.14,0.43,0.009,NEUTRAL
TPL_SEG_08_TRIAL_CONVERSION_02,SEG_08,New Trial Explorers,trial,Trial Conversion,Convert to paid before trial ends,Loss Avoidance,morning,4000,440,1280,0.11,0.32,0.011,NEUTRAL
TPL_SEG_08_TRIAL_CONVERSION_03,SEG_08,New Trial Explorers,trial,Trial Conversion,Convert to paid before trial ends,Epic Meaning,night,4000,240,760,0.06,0.19,0.015,BAD
TPL_SEG_09_WIN_BACK_HOOK_01,SEG_09,Churned Free Users,churned,Win-back Hook,Re-open app within 7 days,Empowerment,evening,12000,720,2280,0.06,0.19,0.023,BAD
TPL_SEG_09_WIN_BACK_HOOK_02,SEG_09,Churned Free Users,churned,Win-back Hook,Re-open app within 7 days,Loss Avoidance,morning,12000,480,1440,0.04,0.12,0.029,BAD
TPL_SEG_09_WIN_BACK_HOOK_03,SEG_09,Churned Free Users,churned,Win-back Hook,Re-open app within 7 days,Epic Meaning,afternoon,12000,240,720,0.02,0.06,0.034,BAD
TPL_SEG_09_VALUE_REMINDER_01,SEG_09,Churned Free Users,churned,Value Reminder,Show what they are missing,Empowerment,evening,10000,800,2200,0.08,0.22,0.02,NEUTRAL
TPL_SEG_09_VALUE_REMINDER_02,SEG_09,Churned Free Users,churned,Value Reminder,Show what they are missing,Epic Meaning,morning,10000,500,1400,0.05,0.14,0.027,BAD
TPL_SEG_09_VALUE_REMINDER_03,SEG_09,Churned Free Users,churned,Value Reminder,Show what they are missing,Loss Avoidance,night,10000,200,500,0.02,0.05,0.038,BAD
TPL_SEG_09_REACTIVATION_OFFER_01,SEG_09,Churned Free Users,churned,Reactivation Offer,Drive trial sign-up,Loss Avoidance,evening,8000,560,1680,0.07,0.21,0.021,NEUTRAL
TPL_SEG_09_REACTIVATION_OFFER_02,SEG_09,Churned Free Users,churned,Reactivation Offer,Drive trial sign-up,Empowerment,morning,8000,320,880,0.04,0.11,0.03,BAD
TPL_SEG_09_REACTIVATION_OFFER_03,SEG_09,Churned Free Users,churned,Reactivation Offer,Drive trial sign-up,Epic Meaning,early_morning,8000,240,640,0.03,0.08,0.032,BAD
TPL_SEG_11_ENGAGEMENT_BOOST_01,SEG_11,Moderate Paid Users,paid,Engagement Boost,Increase session frequency to 5x/week,Empowerment,evening,5000,850,2400,0.17,0.48,0.007,GOOD
TPL_SEG_11_ENGAGEMENT_BOOST_02,SEG_11,Moderate Paid Users,paid,Engagement Boost,Increase session frequency to 5x/week,Epic Meaning,morning,5000,700,2050,0.14,0.41,0.009,NEUTRAL
TPL_SEG_11_ENGAGEMENT_BOOST_03,SEG_11,Moderate Paid Users,paid,Engagement Boost,Increase session frequency to 5x/week,Loss Avoidance,evening,5000,950,2650,0.19,0.53,0.006,GOOD
TPL_SEG_11_FEATURE_ADOPTION_01,SEG_11,Moderate Paid Users,paid,Feature Adoption,Drive AI Tutor usage,Empowerment,afternoon,4000,480,1280,0.12,0.32,0.011,NEUTRAL
TPL_SEG_11_FEATURE_ADOPTION_02,SEG_11,Moderate Paid Users,paid,Feature Adoption,Drive AI Tutor usage,Epic Meaning,evening,4000,640,1800,0.16,0.45,0.0075,GOOD
TPL_SEG_11_FEATURE_ADOPTION_03,SEG_11,Moderate Paid Users,paid,Feature Adoption,Drive AI Tutor usage,Loss Avoidance,morning,4000,560,1520,0.14,0.38,0.0095,NEUTRAL
TPL_SEG_11_STREAK_PROTECTION_01,SEG_11,Moderate Paid Users,paid,Streak Protection,Maintain 7-day streak,Loss Avoidance,evening,3000,540,1560,0.18,0.52,0.0055,GOOD
TPL_SEG_11_STREAK_PROTECTION_02,SEG_11,Moderate Paid Users,paid,Streak Protection,Maintain 7-day streak,Empowerment,early_morning,3000,360,960,0.12,0.32,0.01,NEUTRAL
TPL_SEG_11_STREAK_PROTECTION_03,SEG_11,Moderate Paid Users,paid,Streak Protection,Maintain 7-day streak,Epic Meaning,morning,3000,450,1230,0.15,0.41,0.008,GOOD
TPL_SEG_12_REACTIVATION_NUDGE_01,SEG_12,Inactive Trial Users,inactive,Reactivation Nudge,Re-open app in 3 days,Empowerment,evening,9000,810,2700,0.09,0.3,0.013,NEUTRAL
TPL_SEG_12_REACTIVATION_NUDGE_02,SEG_12,Inactive Trial Users,inactive,Reactivation Nudge,Re-open app in 3 days,Loss Avoidance,morning,9000,540,1800,0.06,0.2,0.017,NEUTRAL
TPL_SEG_12_REACTIVATION_NUDGE_03,SEG_12,Inactive Trial Users,inactive,Reactivation Nudge,Re-open app in 3 days,Epic Meaning,afternoon,9000,360,1080,0.04,0.12,0.02,BAD
TPL_SEG_12_FOMO_TRIGGER_01,SEG_12,Inactive Trial Users,inactive,FOMO Trigger,Create urgency to return,Loss Avoidance,evening,7000,700,2170,0.1,0.31,0.012,NEUTRAL
TPL_SEG_12_FOMO_TRIGGER_02,SEG_12,Inactive Trial Users,inactive,FOMO Trigger,Create urgency to return,Empowerment,morning,7000,490,1540,0.07,0.22,0.016,NEUTRAL
TPL_SEG_12_FOMO_TRIGGER_03,SEG_12,Inactive Trial Users,inactive,FOMO Trigger,Create urgency to return,Epic Meaning,night,7000,280,700,0.04,0.1,0.022,BAD
TPL_SEG_12_VALUE_SHOWCASE_01,SEG_12,Inactive Trial Users,inactive,Value Showcase,Demonstrate premium value,Epic Meaning,evening,6000,540,1740,0.09,0.29,0.0135,NEUTRAL
TPL_SEG_12_VALUE_SHOWCASE_02,SEG_12,Inactive Trial Users,inactive,Value Showcase,Demonstrate premium value,Empowerment,early_morning,6000,360,1080,0.06,0.18,0.0175,BAD
TPL_SEG_12_VALUE_SHOWCASE_03,SEG_12,Inactive Trial Users,inactive,Value Showcase,Demonstrate premium value,Loss Avoidance,morning,6000,480,1440,0.08,0.24,0.0145,NEUTRAL
TPL_SEG_13_LAST_CHANCE_RESCUE_01,SEG_13,Churned Paid Users,churned,Last Chance Rescue,Prevent permanent churn,Loss Avoidance,evening,8000,800,2480,0.1,0.31,0.012,NEUTRAL
TPL_SEG_13_LAST_CHANCE_RESCUE_02,SEG_13,Churned Paid Users,churned,Last Chance Rescue,Prevent permanent churn,Empowerment,morning,8000,560,1680,0.07,0.21,0.016,NEUTRAL
TPL_SEG_13_LAST_CHANCE_RESCUE_03,SEG_13,Churned Paid Users,churned,Last Chance Rescue,Prevent permanent churn,Epic Meaning,afternoon,8000,320,960,0.04,0.12,0.021,BAD
TPL_SEG_13_NOSTALGIA_TRIGGER_01,SEG_13,Churned Paid Users,churned,Nostalgia Trigger,Remind of past achievements,Empowerment,evening,6000,600,1860,0.1,0.31,0.0115,NEUTRAL
TPL_SEG_13_NOSTALGIA_TRIGGER_02,SEG_13,Churned Paid Users,churned,Nostalgia Trigger,Remind of past achievements,Epic Meaning,morning,6000,480,1440,0.08,0.24,0.014,NEUTRAL
TPL_SEG_13_NOSTALGIA_TRIGGER_03,SEG_13,Churned Paid Users,churned,Nostalgia Trigger,Remind of past achievements,Loss Avoidance,evening,6000,660,1980,0.11,0.33,0.01,NEUTRAL
TPL_SEG_13_COMEBACK_OFFER_01,SEG_13,Churned Paid Users,churned,Comeback Offer,Drive resubscription,Loss Avoidance,evening,5000,450,1400,0.09,0.28,0.013,NEUTRAL
TPL_SEG_13_COMEBACK_OFFER_02,SEG_13,Churned Paid Users,churned,Comeback Offer,Drive resubscription,Empowerment,early_morning,5000,300,900,0.06,0.18,0.0175,BAD
TPL_SEG_13_COMEBACK_OFFER_03,SEG_13,Churned Paid Users,churned,Comeback Offer,Drive resubscription,Epic Meaning,night,5000,200,550,0.04,0.11,0.023,BAD
