entity_type,entity_id,change_type,metric_trigger,before_value,after_value,explanation,timestamp
template,TPL_SEG_06_HABIT_FORMATION___EARLY_ENGAGEMENT_02_v2,template_replacement,"poor_performance_suppression: CTR=3.67%, ER=11.33%",theme=Epic Meaning | Ready to Beat Yesterday?,theme=Unpredictability | Phoenix Rises from Inactive Streaks,"This angle and theme work for this segment because it emphasizes the importance of daily practice to revive an inactive streak, which aligns with SpeakX's goal of habit formation.",2026-03-10 19:44:43
template,TPL_SEG_06_HABIT_FORMATION___EARLY_ENGAGEMENT_03_v2,template_replacement,"poor_performance_suppression: CTR=3.67%, ER=11.33%","theme=Epic Meaning | 1,400 Learners Practiced Today",theme=Ownership | Phoenix Rises from Inactive Streaks,"This title and body angle works for this segment as it uses the 'second wind' metaphor to re-engage inactive users, highlighting the benefits of daily practice sessions and AI-powered feedback.",2026-03-10 19:44:49
template,TPL_SEG_06_HABIT_FORMATION___EARLY_ENGAGEMENT_04_v2,template_replacement,"poor_performance_suppression: CTR=3.67%, ER=11.33%",theme=Epic Meaning | Tip: 10 Min Daily Beats 2 Hr Weekly,"theme=Loss Avoidance | Your Streak Was Hidden, But SpeakX Uncovered It","This angle works for this segment because it acknowledges the user's hidden streak and offers a solution to uncover it, which is a relatable and motivating message.",2026-03-10 19:44:54
template,TPL_SEG_06_HABIT_FORMATION___EARLY_ENGAGEMENT_05_v2,template_replacement,"poor_performance_suppression: CTR=3.67%, ER=11.33%",theme=Epic Meaning | Day 5 Challenge Unlocked!,"theme=Empowerment | Your Streak Was Hidden, But SpeakX Uncovered It","This angle and theme work well for this segment because it acknowledges the user's potential and encourages them to take action, which is perfect for a moderate-active trial activator.",2026-03-10 19:45:00
template,TPL_SEG_09_ACTIVATION___VALUE_DISCOVERY_01_v2,template_replacement,"poor_performance_suppression: CTR=3.33%, ER=9.33%",theme=Epic Meaning | Start Today's Session,theme=Empowerment | My Streak Was Lost in the Haze of Inactivity,"This title and body angle works because it acknowledges the user's loss of streak but frames it as an opportunity to 'come back' with Sia's help, emphasizing empowerment and a sense of control.",2026-03-10 19:45:06
template,TPL_SEG_09_ACTIVATION___VALUE_DISCOVERY_02_v2,template_replacement,"poor_performance_suppression: CTR=3.33%, ER=9.33%",theme=Epic Meaning | Ready to Beat Yesterday?,theme=Loss Avoidance | Unlock Your Streak's Secret,"यह दृष्टिकोण और थीम इस सेगमेंट के लिए उपयुक्त है क्योंकि यह प्रयोगकर्ताओं को अपनी गति को फिर से प्राप्त करने में मदद करता है, जिससे उन्हें सकारात्मक रूप से प्रेरित किया जा सकता है और उनकी सक्रियता बढ़ाई जा सकती है.",2026-03-10 19:45:11
template,TPL_SEG_09_ACTIVATION___VALUE_DISCOVERY_03_v2,template_replacement,"poor_performance_suppression: CTR=3.33%, ER=9.33%","theme=Epic Meaning | 1,400 Learners Practiced Today",theme=Curiosity | Your Fresh Chapter Awaits — Curiosity,Applied Curiosity via fresh chapter angle for SEG_09,2026-03-10 19:45:16
template,TPL_SEG_09_ACTIVATION___VALUE_DISCOVERY_04_v2,template_replacement,"poor_performance_suppression: CTR=3.33%, ER=9.33%",theme=Epic Meaning | Tip: 10 Min Daily Beats 2 Hour Weekly,"theme=Social Proof | New Season, New Streaks","This new season angle and social proof theme works for this segment because it appeals to users' desire to start fresh and make progress, while highlighting the benefits of SpeakX's AI-powered practice sessions.",2026-03-10 19:45:21
template,TPL_SEG_09_ACTIVATION___VALUE_DISCOVERY_05_v2,template_replacement,"poor_performance_suppression: CTR=3.33%, ER=9.33%",theme=Epic Meaning | Day 5 Challenge Unlocked,theme=Scarcity | Your Encore Performance Awaits — Scarcity,Applied Scarcity via encore performance angle for SEG_09,2026-03-10 19:45:26
template,TPL_SEG_09_HABIT_FORMATION___EARLY_ENGAGEMENT_01_v2,template_replacement,"poor_performance_suppression: CTR=6.00%, ER=17.33%",theme=Empowerment | Start Today's Session,theme=Epic Meaning | My Streak Was Lost in the Haze of Inactivity,"इस पले का समय इस सेगमेंट के लिए उपयुक्त है क्योंकि यह user को अपनी inactive streak को फिर से शुरू करने के लिए प्रेरित करता है, जिससे हमारे app की रिटेन्शन दर में सुधार होता है.",2026-03-10 19:45:31
template,TPL_SEG_09_HABIT_FORMATION___EARLY_ENGAGEMENT_02_v2,template_replacement,"poor_performance_suppression: CTR=6.00%, ER=17.33%",theme=Empowerment | Ready to beat yesterday?,theme=Accomplishment | Unlock Your Streak's Secret in a Time Capsule of Progress,इस समय संपत्ति और प्रगति की कल्पना से इस सेगमेंट में एक नई ऊर्जा लाने की क्षमता है,2026-03-10 19:45:36
template,TPL_SEG_09_HABIT_FORMATION___EARLY_ENGAGEMENT_03_v2,template_replacement,"poor_performance_suppression: CTR=6.00%, ER=17.33%","theme=Empowerment | 1,400 learners practiced today",theme=Unpredictability | Your Fresh Chapter Awaits — Streak Tracker,"This angle and theme work for this segment because it emphasizes the importance of daily streaks in maintaining user engagement, while also highlighting SpeakX's unique feature of AI-powered practice sessions.",2026-03-10 19:45:41
template,TPL_SEG_09_HABIT_FORMATION___EARLY_ENGAGEMENT_04_v2,template_replacement,"poor_performance_suppression: CTR=6.00%, ER=17.33%",theme=Empowerment | Tip: 10 min daily beats 2 hr weekly,theme=Ownership | Your New Season Awaits — Ownership,Applied Ownership via new season angle for SEG_09,2026-03-10 19:45:46
template,TPL_SEG_09_HABIT_FORMATION___EARLY_ENGAGEMENT_05_v2,template_replacement,"poor_performance_suppression: CTR=6.00%, ER=17.33%",theme=Empowerment | Day 5 Challenge Unlocked,theme=Loss Avoidance | Phoenix Rises from Inactive Streaks,"इस सेगमेंट के लिए, 'अभ्यास की दूसरी शुरुआत' थीम और 'फेनिक्स राइज़ फ्रॉम इनैक्टिव स्ट्रीक्स' टाइटल एक प्रभावी मेटाफोर है जो उपयोगकर्ताओं को अपने अभ्यास को फिर से शुरू करने के लिए प्रेरित करता है।",2026-03-10 19:45:51
template,TPL_SEG_09_THE_CONVERSION_PUSH_01_v2,template_replacement,"poor_performance_suppression: CTR=3.33%, ER=9.33%",theme=Epic Meaning | Start Today's Session,theme=Empowerment | My Streak Was Lost in the Haze of Inactivity,"इस स्टोरी का उपयोग करके, हम अपने प्रयोगकर्ताओं को अपनी स्ट्रीक को फिर से जीवित करने के लिए प्रोत्साहित करते हैं और उन्हें सक्रिय होने के लिए प्रेरित करते हैं।",2026-03-10 19:45:56
template,TPL_SEG_09_THE_CONVERSION_PUSH_02_v2,template_replacement,"poor_performance_suppression: CTR=3.33%, ER=9.33%",theme=Epic Meaning | Ready to beat yesterday?,theme=Curiosity | Unlock Your Streak's Secret in a Forgotten Box,"इस खोज-आधारित प्रेरणा को इस सेगमेंट में काम करने का कारण यह है कि इसने उपयोगकर्ताओं को अपनी स्ट्रीक की गुप्तता खोजने और उसे खोलने के लिए प्रेरित करता है, जिससे वे अपनी शब्दावला में सुधार करने के लिए दैनिक चुनौतियों का आनंद लेते हैं।",2026-03-10 19:46:02
template,TPL_SEG_09_THE_CONVERSION_PUSH_03_v2,template_replacement,"poor_performance_suppression: CTR=3.33%, ER=9.33%","theme=Epic Meaning | 1,400 learners practiced today",theme=Social Proof | Your Fresh Chapter Awaits — Social Proof,Applied Social Proof via fresh chapter angle for SEG_09,2026-03-10 19:46:07
template,TPL_SEG_09_THE_CONVERSION_PUSH_04_v2,template_replacement,"poor_performance_suppression: CTR=3.33%, ER=9.33%",theme=Epic Meaning | Tip: 10 min daily beats 2 hr weekly,theme=Scarcity | Unlock Your Streak's Secret in a Forgotten Box,"यह संदेश इस सेगमेंट के लिए एक उपयुक्त स्कार्सिटी मेटाफोर प्रदान करता है और SpeakX के फीचर्स को उजागर करता है, जिससे उपयोगकर्ताओं को अपने दैनिक अभ्यास में सुधार करने के लिए प्रेरित किया जाता है",2026-03-10 19:46:12
template,TPL_SEG_09_THE_CONVERSION_PUSH_05_v2,template_replacement,"poor_performance_suppression: CTR=3.33%, ER=9.33%",theme=Epic Meaning | Day 5 Challenge Unlocked,theme=Accomplishment | Phoenix Rises from the Ashes of Inactivity,"This angle and theme work for this segment because it acknowledges the user's inactivity, frames it as an opportunity for growth, and encourages a specific action to overcome it.",2026-03-10 19:46:15
template,TPL_SEG_12_THE_LOW_FRICTION_RE_ENGAGEMENT_01_v2,template_replacement,"poor_performance_suppression: CTR=5.67%, ER=17.00%",theme=Epic Meaning | Start Today's Session,theme=Loss Avoidance | Phoenix Rises from the Ashes of Inactivity,"This angle and theme work for this segment because it acknowledges the user's inactivity and offers a solution with SpeakX's AI tutor, which is a unique feature that sets them apart from other language learning apps.",2026-03-10 19:46:20
template,TPL_SEG_12_THE_LOW_FRICTION_RE_ENGAGEMENT_02_v2,template_replacement,"poor_performance_suppression: CTR=5.67%, ER=17.00%",theme=Epic Meaning | Ready to beat yesterday?,theme=Empowerment | Unlock Your Streak's Secret in a Forgotten Box,"This angle and theme work for this segment because it emphasizes the user's potential to unlock their streak's secret, which is a key motivator for users who feel stuck or inactive.",2026-03-10 19:46:26
template,TPL_SEG_12_THE_LOW_FRICTION_RE_ENGAGEMENT_03_v2,template_replacement,"poor_performance_suppression: CTR=5.67%, ER=17.00%","theme=Epic Meaning | 1,400 learners practiced today",theme=Curiosity | Unlock Your Streak's Secret in a Forgotten Box,"इस सेगमेंट को 'अपहरित कार्ड' में पुनर्जीवित करने वाली एक अनोखी और आकर्षक रणनीति की आवश्यकता है, जो उपयोगकर्ताओं को अपनी प्रगति को खोजने के लिए प्रेरित करती है और उन्हें स्ट्रीक ट्रैकिंग में सुधार करने के लिए प्रोत्साहित करती है।",2026-03-10 19:46:31
template,TPL_SEG_12_THE_LOW_FRICTION_RE_ENGAGEMENT_04_v2,template_replacement,"poor_performance_suppression: CTR=5.67%, ER=17.00%",theme=Epic Meaning | Tip: 10 min daily beats 2 hr weekly,theme=Social Proof | Unlock Your Streak's Secret in a Forgotten Box,इस सेगमेंट के लिए इस सोशल प्रूफ थीम और बोल्ड क्लेम एन्जल का उपयोग करने से स्ट्रीकर्स को रिस्टार्ट करने में मदद मिल सकती है और उन्हें अपनी दैनिक प्रैक्टिस में वापस आने के लिए प्रेरित किया जा सकता है.,2026-03-10 19:46:36
template,TPL_SEG_12_THE_LOW_FRICTION_RE_ENGAGEMENT_05_v2,template_replacement,"poor_performance_suppression: CTR=5.67%, ER=17.00%",theme=Epic Meaning | Day 5 Challenge Unlocked,theme=Scarcity | Unlock Your Streak's Secret in a Forgotten Box,"इस अंगुली को इस सेगमेंट के लिए उपयुक्त बनाने का कारण यह है कि यह संदेश स्ट्रीक ट्रैक्टर और प्रगति की खोज में रुचि रखने वालों के लिए एक आकर्षक संकेत है, जो उन्हें सक्रिय करने के लिए प्रेरित करता है.",2026-03-10 19:46:42
template,TPL_SEG_04_PREMIUM_AFFIRMATION_01,template_iteration,"neutral_performance_iteration: CTR=9.67%, ER=29.00%",Unlock Exclusive Content Today,Train for Victory,"This title is punchier as it uses a clear and direct call-to-action, while also emphasizing the exclusive nature of the content, which will appeal to users who are looking for an edge in their streak.",2026-03-10 19:46:46
template,TPL_SEG_04_PREMIUM_AFFIRMATION_02,template_iteration,"neutral_performance_iteration: CTR=9.67%, ER=29.00%",Your Progress Awaits,Build Your Streak Foundation,This title is punchier as it directly references the user's action (building a streak) and creates a sense of urgency with 'now'.,2026-03-10 19:46:50
template,TPL_SEG_04_PREMIUM_AFFIRMATION_03,template_iteration,"neutral_performance_iteration: CTR=9.67%, ER=29.00%",Join the Community Today,Level Up Your Streak,"More urgent and punchy than original, with a clear call-to-action",2026-03-10 19:46:55
template,TPL_SEG_04_PREMIUM_AFFIRMATION_04,template_iteration,"neutral_performance_iteration: CTR=9.67%, ER=29.00%",Tip: Boost Your Fluency,Tip: Boost Your Fluency,Sharpened with artist studio angle.,2026-03-10 19:47:00
template,TPL_SEG_04_PREMIUM_AFFIRMATION_05,template_iteration,"neutral_performance_iteration: CTR=9.67%, ER=29.00%",Day 5 Challenge Unlocked,Day 5 Challenge Unlocked,Sharpened with science experiment angle.,2026-03-10 19:47:05
template,TPL_SEG_04_DEEP_IMMERSION_01,template_iteration,"neutral_performance_iteration: CTR=12.67%, ER=37.00%",Start Today's Session,Train for Victory: Boost Your Streak,"This title uses a more urgent and motivational tone, emphasizing the importance of continuous progress to surpass yesterday's achievements.",2026-03-10 19:47:09
template,TPL_SEG_04_DEEP_IMMERSION_02,template_iteration,"neutral_performance_iteration: CTR=12.67%, ER=37.00%",Ready to Beat Yesterday?,Build Your House of Fluency,"यह अधिक उत्साहजनक और प्रभावी है, क्योंकि यह उपयोगकर्ता को अपने लक्ष्य को प्राप्त करने में मदद करता है और उन्हें आगे बढ़ने के लिए प्रेरित करता है",2026-03-10 19:47:13
template,TPL_SEG_04_DEEP_IMMERSION_03,template_iteration,"neutral_performance_iteration: CTR=12.67%, ER=37.00%","1,400 Learners Practiced Today","1,400 Learners Practiced Today",Sharpened with video game leveling angle.,2026-03-10 19:47:18
template,TPL_SEG_04_DEEP_IMMERSION_04,template_iteration,"neutral_performance_iteration: CTR=12.67%, ER=37.00%",Tip: 10 Min Daily Beats 2 Hr Weekly,Tip: 10 Min Daily Beats 2 Hr Weekly,Sharpened with artist studio angle.,2026-03-10 19:47:23
template,TPL_SEG_04_DEEP_IMMERSION_05,template_iteration,"neutral_performance_iteration: CTR=12.67%, ER=37.00%",Day 5 Challenge Unlocked!,Unlock Your Streak's Secret in a Forgotten Box,"This title is punchier because it uses a unique metaphor and emphasizes the discovery of a 'secret' that will unlock progress, making it more engaging and motivational.",2026-03-10 19:47:28
template,TPL_SEG_04_SOCIAL___EXPANSION_DRIVE_01,template_iteration,"neutral_performance_iteration: CTR=9.67%, ER=29.00%",Start Today's Session,Run Your Streak Marathon Today,"This title is punchier because it uses a more dynamic metaphor (marathon) and emphasizes the benefits of daily practice, making it more appealing to users.",2026-03-10 19:47:32
template,TPL_SEG_04_SOCIAL___EXPANSION_DRIVE_02,template_iteration,"neutral_performance_iteration: CTR=9.67%, ER=29.00%",Ready to Beat Yesterday?,Build Your House of Fluency,"यह अधिक उर्जित और चपलता से भरपूर है, लेकिन अभी भी प्रामाणिकता बनाए रखता है",2026-03-10 19:47:36
template,TPL_SEG_04_SOCIAL___EXPANSION_DRIVE_03,template_iteration,"neutral_performance_iteration: CTR=9.67%, ER=29.00%","1,400 Learners Practiced Today","1,400 Learners Practiced Today",Sharpened with video game leveling angle.,2026-03-10 19:47:40
template,TPL_SEG_04_SOCIAL___EXPANSION_DRIVE_04,template_iteration,"neutral_performance_iteration: CTR=9.67%, ER=29.00%",Tip: 10 min daily beats 2 hr weekly,Tip: 10 min daily beats 2 hr weekly,Sharpened with artist studio angle.,2026-03-10 19:47:45
template,TPL_SEG_04_SOCIAL___EXPANSION_DRIVE_05,template_iteration,"neutral_performance_iteration: CTR=9.67%, ER=29.00%",Day 5 Challenge Unlocked,Unlock Your Streak's Secret in a Forgotten Box,"This title is punchier because it uses a fresh metaphor and emphasizes the importance of unlocking one's potential, making it more engaging and motivating for users.",2026-03-10 19:47:49
template,TPL_SEG_04_OVERCOMING_THE_SLUMP_01,template_iteration,"neutral_performance_iteration: CTR=9.67%, ER=29.00%",Join Today's Session,Train for Your Streak's Finishing Line,"यह टाइटल और बॉडी दोनों ही अधिक उर्जित और प्रभावी हैं, जिससे उपयोगकर्ता को अपने स्ट्रीक को फिर से जीवंत करने के लिए प्रेरित किया जाता है",2026-03-10 19:47:54
template,TPL_SEG_04_OVERCOMING_THE_SLUMP_02,template_iteration,"neutral_performance_iteration: CTR=9.67%, ER=29.00%",Ready to Beat Yesterday?,Build Your Streak's Foundation,इसे पUNCHIER बनाने की वजह यह है कि इसने स्ट्रीक को एक मजबूत आधार के रूप में दिखाया है और उपयोगकर्ताओं को 5 मिनट में अपनी भाषा कौशल में सुधार करने के लिए प्रोत्साहित करता है,2026-03-10 19:47:58
template,TPL_SEG_04_OVERCOMING_THE_SLUMP_03,template_iteration,"neutral_performance_iteration: CTR=9.67%, ER=29.00%","1,400 Learners Practiced Today","1,400 Learners Practiced Today",Sharpened with video game leveling angle.,2026-03-10 19:48:03
template,TPL_SEG_04_OVERCOMING_THE_SLUMP_04,template_iteration,"neutral_performance_iteration: CTR=9.67%, ER=29.00%",Tip: 10 Min Daily Beats 2 Hr Weekly,Tip: 10 Min Daily Beats 2 Hr Weekly,Sharpened with artist studio angle.,2026-03-10 19:48:08
template,TPL_SEG_04_OVERCOMING_THE_SLUMP_05,template_iteration,"neutral_performance_iteration: CTR=9.67%, ER=29.00%",Day 5 Challenge Unlocked,Unlock Your Streak's Secret in a Forgotten Box,यह टाइटल और बॉडी को अधिक आकर्षक बनाता है और उपयोगकर्ताओं को प्रगति की खोज करने के लिए प्रोत्साहित करता है,2026-03-10 19:48:13
template,TPL_SEG_04_ROI_DEMONSTRATION_01,template_iteration,"neutral_performance_iteration: CTR=12.67%, ER=37.00%",Start Today's Session,Train for Your Streak's Finishing Line,"This title is punchier because it uses a marathon training metaphor and emphasizes the user's full potential, making it more motivational and encouraging.",2026-03-10 19:48:17
template,TPL_SEG_04_ROI_DEMONSTRATION_02,template_iteration,"neutral_performance_iteration: CTR=12.67%, ER=37.00%",Ready to beat yesterday?,Ready to beat yesterday?,Sharpened with building a house angle.,2026-03-10 19:48:22
template,TPL_SEG_04_ROI_DEMONSTRATION_03,template_iteration,"neutral_performance_iteration: CTR=12.67%, ER=37.00%","1,400 learners practiced today",Level Up Your Streak,"This title uses a fresh video game leveling metaphor and is more urgent than the original, while still being concise and easy to understand.",2026-03-10 19:48:26
template,TPL_SEG_04_ROI_DEMONSTRATION_04,template_iteration,"neutral_performance_iteration: CTR=12.67%, ER=37.00%",Tip: 10 min daily beats 2 hr weekly,Unlock Your Streak's Masterpiece,"पunchier because it uses a more creative and motivational phrase, while still being concise and easy to understand.",2026-03-10 19:48:30
template,TPL_SEG_04_ROI_DEMONSTRATION_05,template_iteration,"neutral_performance_iteration: CTR=12.67%, ER=37.00%",Day 5 Challenge Unlocked,Unlock Your Streak's Secret in a Time Capsule of Progress,"पunchier because it uses a unique metaphor and emphasizes the idea of unlocking progress, making it more engaging and motivational.",2026-03-10 19:48:34
template,TPL_SEG_04_RETENTION___RENEWAL_01,template_iteration,"neutral_performance_iteration: CTR=12.67%, ER=37.00%",Your streak is at risk!,Train for Your Streak's Finishing Line,This title is punchier because it uses a marathon training metaphor and emphasizes the importance of taking action to win back the streak.,2026-03-10 19:48:38
template,TPL_SEG_04_RETENTION___RENEWAL_02,template_iteration,"neutral_performance_iteration: CTR=12.67%, ER=37.00%",Ready to beat yesterday?,Build Your Streak's Foundation,"This title is punchier because it uses a more direct and motivational phrase, while still being concise and easy to understand.",2026-03-10 19:48:42
template,TPL_SEG_04_RETENTION___RENEWAL_03,template_iteration,"neutral_performance_iteration: CTR=12.67%, ER=37.00%","1,400 learners practiced today",Level Up Your Streak,"This title is punchier because it directly references the user's streak and encourages them to take action, rather than just mentioning a feature.",2026-03-10 19:48:46
template,TPL_SEG_04_RETENTION___RENEWAL_04,template_iteration,"neutral_performance_iteration: CTR=12.67%, ER=37.00%",Tip: 10 min daily beats 2 hr weekly,Unlock Your Streak's Masterpiece in the Artist Studio,This title is punchier because it uses a unique metaphor and emphasizes the benefits of daily practice.,2026-03-10 19:48:50
template,TPL_SEG_04_RETENTION___RENEWAL_05,template_iteration,"neutral_performance_iteration: CTR=12.67%, ER=37.00%",Day 5 Challenge Unlocked!,Day 5 Challenge Unlocked!,Sharpened with science experiment angle.,2026-03-10 19:48:56
template,TPL_SEG_06_THE_CONVERSION_PUSH_01,template_iteration,"neutral_performance_iteration: CTR=8.00%, ER=26.33%",Start Today's Session,"My Streak Was Dead, But SpeakX Brought Me Back to Life","This title uses a comeback story angle and is punchier than the original, with a clear call-to-action.",2026-03-10 19:49:00
template,TPL_SEG_06_THE_CONVERSION_PUSH_02,template_iteration,"neutral_performance_iteration: CTR=8.00%, ER=26.33%",Ready to beat yesterday?,Phoenix Rising: Unlock Your Streak's Potential,यह संदेश अधिक उत्साहजनक है और उपयोगकर्ता को अपनी स्ट्रीक के पूर्णत्व की ओर बढ़ने के लिए प्रेरित करता है,2026-03-10 19:49:05
template,TPL_SEG_06_THE_CONVERSION_PUSH_03,template_iteration,"neutral_performance_iteration: CTR=8.00%, ER=26.33%","1,400 learners practiced today",Revive Your Streak with SpeakX's Second Wind,यह टाइटल और बॉडी दोनों ही पहले टाइटल्स की तुलना में अधिक उर्जित और प्रभावी हैं,2026-03-10 19:49:09
template,TPL_SEG_06_THE_CONVERSION_PUSH_04,template_iteration,"neutral_performance_iteration: CTR=8.00%, ER=26.33%",Tip: 10 min daily beats 2 hr weekly,Tip: 10 min daily beats 2 hr weekly,Sharpened with hidden reserve angle.,2026-03-10 19:49:14
template,TPL_SEG_06_THE_CONVERSION_PUSH_05,template_iteration,"neutral_performance_iteration: CTR=8.00%, ER=26.33%",Day 5 Challenge Unlocked,Day 5 Challenge Unlocked,Sharpened with plot twist angle.,2026-03-10 19:49:18
template,TPL_SEG_08_PREMIUM_AFFIRMATION_01,template_iteration,"neutral_performance_iteration: CTR=14.33%, ER=44.00%",Start Today's Session,Start Today's Session,Sharpened with unique perspective angle.,2026-03-10 19:49:23
template,TPL_SEG_08_PREMIUM_AFFIRMATION_02,template_iteration,"neutral_performance_iteration: CTR=14.33%, ER=44.00%",Ready to Beat Yesterday?,Unlock Your Streak's Masterpiece,"This title uses a fresh take angle and is punchier than the original, while still maintaining the Empowerment theme.",2026-03-10 19:49:28
template,TPL_SEG_08_PREMIUM_AFFIRMATION_03,template_iteration,"neutral_performance_iteration: CTR=14.33%, ER=44.00%","1,400 Learners Practiced Today","1,400 Learners Practiced Today",Sharpened with surprising twist angle.,2026-03-10 19:49:32
template,TPL_SEG_08_PREMIUM_AFFIRMATION_04,template_iteration,"neutral_performance_iteration: CTR=14.33%, ER=44.00%",Tip: 10 Min Daily Beats 2 Hr Weekly,Tip: 10 Min Daily Beats 2 Hr Weekly,Sharpened with bold claim angle.,2026-03-10 19:49:38
template,TPL_SEG_08_PREMIUM_AFFIRMATION_05,template_iteration,"neutral_performance_iteration: CTR=14.33%, ER=44.00%",Day 5 Challenge Unlocked,Day 5 Challenge Unlocked,Sharpened with emotional hook angle.,2026-03-10 19:49:43
template,TPL_SEG_08_DEEP_IMMERSION_01,template_iteration,"neutral_performance_iteration: CTR=14.33%, ER=44.00%",Your Streak is at Risk!,Your Streak is at Risk!,Sharpened with unique perspective angle.,2026-03-10 19:49:47
template,TPL_SEG_08_DEEP_IMMERSION_02,template_iteration,"neutral_performance_iteration: CTR=14.33%, ER=44.00%",Ready to Beat Yesterday?,Unlock Your Streak's Masterpiece,Fresh take angle and specific feature reference make it punchier than original,2026-03-10 19:49:51
template,TPL_SEG_08_DEEP_IMMERSION_03,template_iteration,"neutral_performance_iteration: CTR=14.33%, ER=44.00%",Tip: 10 min daily beats 2 hr weekly,Unlock Your Streak's Masterpiece Today,"This title is punchier because it uses a surprising twist angle and creates a sense of urgency, while still being motivational and empowering.",2026-03-10 19:49:56
template,TPL_SEG_08_DEEP_IMMERSION_04,template_iteration,"neutral_performance_iteration: CTR=14.33%, ER=44.00%",Challenge Unlocked: Day 5!,Unlock Your Streak's Masterpiece Today,यह टाइटल और बॉडी अधिक उत्साहजनक हैं क्योंकि वे स्पष्ट रूप से उपयोगकर्ता को प्रोत्साहित करते हैं और उन्हें उनकी स्ट्रीक को बढ़ाने के लिए प्रेरित करते हैं।,2026-03-10 19:50:00
template,TPL_SEG_08_DEEP_IMMERSION_05,template_iteration,"neutral_performance_iteration: CTR=14.33%, ER=44.00%","1,400 Learners Practiced Today!","1,400 Learners Practiced Today!",Sharpened with emotional hook angle.,2026-03-10 19:50:05
